phase,config,wer,sim_o,mcd
sway,s=0.4_nfe8,100.0,0.462,
sway,s=0.4_nfe8,100.0,0.4973,
sway,s=0.4_nfe8,100.0,0.4619,
sway,s=0.4_nfe16,72.73,0.6307,
sway,s=0.4_nfe16,55.56,0.6112,
sway,s=0.4_nfe16,75.0,0.6319,
sway,s=0.4_nfe32,72.73,0.6293,
sway,s=0.4_nfe32,55.56,0.6144,
sway,s=0.4_nfe32,75.0,0.6259,
sway,s=0.0_nfe8,100.0,0.4965,
sway,s=0.0_nfe8,100.0,0.4732,
sway,s=0.0_nfe8,100.0,0.4564,
sway,s=0.0_nfe16,54.55,0.6498,
sway,s=0.0_nfe16,11.11,0.7397,
sway,s=0.0_nfe16,25.0,0.8177,
sway,s=0.0_nfe32,54.55,0.6563,
sway,s=0.0_nfe32,11.11,0.7348,
sway,s=0.0_nfe32,12.5,0.8145,
sway,s=-0.4_nfe8,100.0,0.4986,
sway,s=-0.4_nfe8,100.0,0.4773,
sway,s=-0.4_nfe8,100.0,0.4787,
sway,s=-0.4_nfe16,0.0,0.8198,
sway,s=-0.4_nfe16,11.11,0.8506,
sway,s=-0.4_nfe16,0.0,0.8821,
sway,s=-0.4_nfe32,0.0,0.8158,
sway,s=-0.4_nfe32,11.11,0.8473,
sway,s=-0.4_nfe32,0.0,0.8803,
sway,s=-0.8_nfe8,54.55,0.6581,
sway,s=-0.8_nfe8,55.56,0.6731,
sway,s=-0.8_nfe8,62.5,0.7247,
sway,s=-0.8_nfe16,0.0,0.7956,
sway,s=-0.8_nfe16,11.11,0.8619,
sway,s=-0.8_nfe16,0.0,0.8791,
sway,s=-0.8_nfe32,0.0,0.7981,
sway,s=-0.8_nfe32,11.11,0.8638,
sway,s=-0.8_nfe32,0.0,0.8818,
sway,s=-1.0_nfe8,18.18,0.8117,
sway,s=-1.0_nfe8,11.11,0.8276,
sway,s=-1.0_nfe8,0.0,0.8861,
sway,s=-1.0_nfe16,0.0,0.786,
sway,s=-1.0_nfe16,11.11,0.8556,
sway,s=-1.0_nfe16,0.0,0.8569,
sway,s=-1.0_nfe32,0.0,0.7869,
sway,s=-1.0_nfe32,11.11,0.8608,
sway,s=-1.0_nfe32,0.0,0.8576,
cfg,cfg=1.0,0.0,0.8145,
cfg,cfg=1.0,11.11,0.8547,
cfg,cfg=1.0,0.0,0.8836,
cfg,cfg=1.5,0.0,0.7871,
cfg,cfg=1.5,11.11,0.8569,
cfg,cfg=1.5,0.0,0.8617,
cfg,cfg=2.0,0.0,0.7869,
cfg,cfg=2.0,11.11,0.8608,
cfg,cfg=2.0,0.0,0.8576,
cfg,cfg=2.5,0.0,0.7864,
cfg,cfg=2.5,11.11,0.8439,
cfg,cfg=2.5,0.0,0.8635,
cfg,cfg=3.0,0.0,0.7763,
cfg,cfg=3.0,11.11,0.8406,
cfg,cfg=3.0,12.5,0.8613,
emotion,w=0.0,8.33,0.8915,742.8926
emotion,w=0.2,0.0,0.8712,726.4378
emotion,w=0.35,0.0,0.8457,734.5315
emotion,w=0.5,0.0,0.8383,786.5884
emotion,w=0.7,0.0,0.8371,747.2929
emotion,w=1.0,0.0,0.823,757.8743
