method,noise_level,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
noise_inject,0.0,-1.0,a0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8928,0.7708,726.41
noise_inject,0.0,-0.9,a0.00_sn0.9,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.9.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8915,0.7706,722.06
noise_inject,0.0,-0.8,a0.00_sn0.8,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.8.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8899,0.7668,719.02
noise_inject,0.0,-0.7,a0.00_sn0.7,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.7.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.891,0.7665,714.88
noise_inject,0.0,-0.6,a0.00_sn0.6,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.6.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8895,0.7727,711.72
noise_inject,0.0,-0.5,a0.00_sn0.5,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.5.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8965,0.7759,705.59
noise_inject,0.0,-0.4,a0.00_sn0.4,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.4.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8846,0.7676,702.17
noise_inject,0.0,-0.3,a0.00_sn0.3,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.3.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8589,0.7274,699.51
noise_inject,0.0,-0.2,a0.00_sn0.2,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.2.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8391,0.7225,717.15
noise_inject,0.0,-0.1,a0.00_sn0.1,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.1.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8301,0.7222,739.14
noise_inject,0.0,-0.0,a0.00_sn0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.805,0.7343,742.19
noise_inject,0.0,0.1,a0.00_sp0.1,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.1.wav,12.256,0.9,30.0,I don't really care what cold. I've been sad. Watching species evolve. Empires rise and fall.,0.7489,0.7221,742.85
noise_inject,0.0,0.2,a0.00_sp0.2,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.2.wav,12.256,0.9,20.0,I don't really hear what you call me. I've been sentenced to that. Watching species evolve. Empires rise and fall.,0.6997,0.686,762.53
noise_inject,0.0,0.3,a0.00_sp0.3,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.3.wav,12.256,0.9,35.0,I don't know what you call them. I've been the Sanctuary Spectator. Watch your species evolve. Empires rise and fall.,0.6811,0.6778,762.94
noise_inject,0.0,0.4,a0.00_sp0.4,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.4.wav,12.256,0.9,55.0,What do you call it? I'm a spectator. What's your species evolve? Empires rise and fall.,0.6711,0.6617,766.25
noise_inject,0.0,0.5,a0.00_sp0.5,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.5.wav,12.256,0.9,75.0,Species evolve. Butters rise and fall.,0.6474,0.6382,765.81
noise_inject,0.0,0.6,a0.00_sp0.6,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.6.wav,12.256,0.9,100.0,"This is evil, or is my evil.",0.6104,0.6023,770.15
noise_inject,0.0,0.7,a0.00_sp0.7,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.7.wav,12.256,0.9,100.0,This is evil. That is my evil.,0.5816,0.5726,773.55
noise_inject,0.0,0.8,a0.00_sp0.8,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.8.wav,12.256,0.9,100.0,This is evil. Evil.,0.5565,0.5541,774.63
noise_inject,0.0,0.9,a0.00_sp0.9,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.9.wav,12.256,0.9,100.0,This is evil. Evil.,0.5449,0.5549,774.42
noise_inject,0.0,1.0,a0.00_sp1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp1.0.wav,12.256,0.9,90.0,This is a fall. Fall.,0.5319,0.5544,772.6
noise_inject,0.05,-1.0,a0.05_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn1.0.wav,12.256,0.9,0.0,I don't really care what you call me. I've been a silent spectator. Watching species evolve. Empires rise and fall.,0.843,0.7105,776.28
noise_inject,0.05,-0.9,a0.05_sn0.9,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.9.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator watching species evolve, empires rise and fall.",0.8736,0.7825,721.79
noise_inject,0.05,-0.8,a0.05_sn0.8,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.8.wav,12.256,0.9,0.0,I don't really care what you call me. I've been a silent spectator watching species evolve. Empires rise and fall.,0.7868,0.6894,773.94
noise_inject,0.05,-0.7,a0.05_sn0.7,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.7.wav,12.256,0.9,10.0,Others can't really care what you call me. I've been a silent spectator watching species evolve. Empires rise and fall.,0.7295,0.6657,715.09
noise_inject,0.05,-0.6,a0.05_sn0.6,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.6.wav,12.256,0.9,0.0,I don't really care what you call me. I've been a silent spectator watching species evolve. Empires rise and fall.,0.7651,0.7028,663.07
noise_inject,0.05,-0.5,a0.05_sn0.5,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.5.wav,12.256,0.9,35.0,"Others call me mother, what you care. I've been a silent spectator, watching species evolve. Rise, rise and fall.",0.769,0.716,691.42
noise_inject,0.05,-0.4,a0.05_sn0.4,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.4.wav,12.256,0.9,25.0,others call me mother you call me I've been a silent spectator watching species evolve empires rise and fall,0.7198,0.7043,711.78
noise_inject,0.05,-0.3,a0.05_sn0.3,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.3.wav,12.256,0.9,40.0,others call me mother nature don't really care i've been a silent spectator watching species evolve empires rise and fall,0.7419,0.7217,740.46
