method,switch_point,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
scheduled_cond,0.0,-1.0,sw0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8928,0.7708,726.41
scheduled_cond,0.0,0.0,sw0.00_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.00_sp0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.805,0.7343,742.19
scheduled_cond,0.25,-1.0,sw0.25_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.25_sn1.0.wav,12.256,0.9,65.0,"Some call me mother. Other chair, I don't rither nature, that only care me. I care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8479,0.8883,966.17
scheduled_cond,0.25,0.0,sw0.25_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.25_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7526,0.8879,932.06
scheduled_cond,0.5,-1.0,sw0.50_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.50_sn1.0.wav,12.256,0.9,70.0,"Some call me mother. Other chair, I don't rither nature, that one would care me. I care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8443,0.8861,950.54
scheduled_cond,0.5,0.0,sw0.50_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.50_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7592,0.8966,911.64
scheduled_cond,0.75,-1.0,sw0.75_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.75_sn1.0.wav,12.256,0.9,70.0,"Some call me mother. Other chair, I don't rither nature, that one would care me. I care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8376,0.8881,940.98
scheduled_cond,0.75,0.0,sw0.75_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw0.75_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7559,0.8953,898.66
scheduled_cond,1.0,-1.0,sw1.00_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw1.00_sn1.0.wav,12.256,0.9,70.0,"Some call me mother. Other chair, I don't rither nature, that one would care me. I care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8363,0.8917,956.62
scheduled_cond,1.0,0.0,sw1.00_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_C\audio\sw1.00_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.7539,0.8999,914.55
