method,noise_level,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
noise_stats,0.0,-1.0,a0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8928,0.7708,726.41
noise_stats,0.0,0.0,a0.00_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.00_sp0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.805,0.7343,742.19
noise_stats,0.1,-1.0,a0.10_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.10_sn1.0.wav,12.256,0.9,100.0,.,0.1507,0.2585,655.07
noise_stats,0.1,0.0,a0.10_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.10_sp0.0.wav,12.256,0.9,100.0,.,0.1536,0.2585,662.9
noise_stats,0.2,-1.0,a0.20_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.20_sn1.0.wav,12.256,0.9,1330.0,"So, let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's",0.1482,0.2585,646.86
noise_stats,0.2,0.0,a0.20_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.20_sp0.0.wav,12.256,0.9,1330.0,"So, let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's",0.149,0.2586,649.19
noise_stats,0.3,-1.0,a0.30_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.30_sn1.0.wav,12.256,0.9,510.0,I'll see you next time. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye.,0.1493,0.2602,628.99
noise_stats,0.3,0.0,a0.30_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.30_sp0.0.wav,12.256,0.9,1325.0,I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know,0.151,0.2608,629.44
noise_stats,0.5,-1.0,a0.50_sn1.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.50_sn1.0.wav,12.256,0.9,1110.0,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.,0.1627,0.2751,593.58
noise_stats,0.5,0.0,a0.50_sp0.0,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_D\audio\a0.50_sp0.0.wav,12.256,0.9,100.0,ご視聴ありがとうございました,0.1631,0.276,593.19
