method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-1.0,a0.00_sn1.0,0.0,0.8925,0.7706,726.47,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.9,a0.00_sn0.9,0.0,0.8917,0.7702,722.11,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.8,a0.00_sn0.8,0.0,0.8898,0.7669,719.09,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.7,a0.00_sn0.7,0.0,0.8907,0.7666,714.74,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.6,a0.00_sn0.6,0.0,0.8872,0.7718,711.83,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.5,a0.00_sn0.5,0.0,0.8955,0.7749,705.6,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.4,a0.00_sn0.4,0.0,0.8843,0.7672,702.16,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.3,a0.00_sn0.3,0.0,0.8582,0.7275,699.68,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.2,a0.00_sn0.2,0.0,0.8367,0.7193,717.21,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.1,a0.00_sn0.1,0.0,0.8296,0.722,739.02,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.00_sn0.1.wav
