method,guidance_scale,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
style_guidance,0.0,-1.0,gs0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8925,0.7706,726.47
style_guidance,0.0,0.0,gs0.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs0.00_sp0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.8057,0.7347,742.13
style_guidance,0.5,-1.0,gs0.50_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs0.50_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8432,0.8581,808.77
style_guidance,0.5,0.0,gs0.50_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs0.50_sp0.0.wav,12.256,0.9,15.0,It's in then. I don't really care what you call me. I've been a silent spectator. Watching species evolve. Empires rise and fall.,0.8173,0.7791,861.13
style_guidance,1.0,-1.0,gs1.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs1.00_sn1.0.wav,12.256,0.9,70.0,"Some call me mother. Other chair, I don't rither nature, lonely with care of me. I forget what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8332,0.8941,959.23
style_guidance,1.0,0.0,gs1.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs1.00_sp0.0.wav,12.256,0.9,20.0,Don't really care what you call me. I've been a silent spectator. What species is evil? Empires rise and fall.,0.754,0.8999,914.6
style_guidance,1.5,-1.0,gs1.50_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs1.50_sn1.0.wav,12.256,0.9,30.0,some call me nature other chair I don't really care what you call me I've been a silent spectator watching species evolve empires rise and fall,0.8406,0.8924,989.95
style_guidance,1.5,0.0,gs1.50_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs1.50_sp0.0.wav,12.256,0.9,25.0,"Don't really care, Lord, really. I've been a silent spectator. Watching species evolve, empires rise and fall.",0.7325,0.8702,951.4
style_guidance,2.0,-1.0,gs2.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs2.00_sn1.0.wav,12.256,0.9,35.0,"So me, nature. Other chai don't really care what you call me. How me? I've been a silent spectator, watching species evolve, empires rise and fall.",0.8376,0.8964,1045.44
style_guidance,2.0,0.0,gs2.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_B\audio\gs2.00_sp0.0.wav,12.256,0.9,45.0,See them. I've been a silent tater. Watching species evolve. Empires rise and fall.,0.7139,0.7386,937.19
