method,noise_level,sway_coef,tag,output_wav,duration_s,peak_amp,wer,whisper_hyp,sim_A,sim_B,mcd_A
noise_stats,0.0,-1.0,a0.00_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.00_sn1.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",0.8925,0.7706,726.47
noise_stats,0.0,0.0,a0.00_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.00_sp0.0.wav,12.256,0.9,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve. Empires rise and fall.",0.8057,0.7347,742.13
noise_stats,0.1,-1.0,a0.10_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.10_sn1.0.wav,12.256,0.9,100.0,.,0.1506,0.2585,654.68
noise_stats,0.1,0.0,a0.10_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.10_sp0.0.wav,12.256,0.9,100.0,.,0.1536,0.2585,662.89
noise_stats,0.2,-1.0,a0.20_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.20_sn1.0.wav,12.256,0.9,1330.0,"So, let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's",0.1482,0.2586,646.41
noise_stats,0.2,0.0,a0.20_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.20_sp0.0.wav,12.256,0.9,1330.0,"So, let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's get started. Let's",0.149,0.2585,649.28
noise_stats,0.3,-1.0,a0.30_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.30_sn1.0.wav,12.256,0.9,510.0,I'll see you next time. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye. Bye-bye.,0.1492,0.2602,628.72
noise_stats,0.3,0.0,a0.30_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.30_sp0.0.wav,12.256,0.9,1325.0,I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know,0.1509,0.2608,629.37
noise_stats,0.5,-1.0,a0.50_sn1.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.50_sn1.0.wav,12.256,0.9,1110.0,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.,0.1627,0.2751,593.65
noise_stats,0.5,0.0,a0.50_sp0.0,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_D\audio\a0.50_sp0.0.wav,12.256,0.9,100.0,ご視聴ありがとうございました,0.163,0.2759,593.2
