phase,config,wer,sim_o,mcd
sway,s=0.4_nfe8,63.64,0.7468,
sway,s=0.4_nfe8,100.0,0.6844,
sway,s=0.4_nfe8,100.0,0.6524,
sway,s=0.4_nfe16,18.18,0.8477,
sway,s=0.4_nfe16,100.0,0.786,
sway,s=0.4_nfe16,50.0,0.8453,
sway,s=0.4_nfe32,18.18,0.8449,
sway,s=0.4_nfe32,100.0,0.7899,
sway,s=0.4_nfe32,37.5,0.8466,
sway,s=0.0_nfe8,63.64,0.7788,
sway,s=0.0_nfe8,100.0,0.7021,
sway,s=0.0_nfe8,87.5,0.6888,
sway,s=0.0_nfe16,0.0,0.8171,
sway,s=0.0_nfe16,11.11,0.8523,
sway,s=0.0_nfe16,0.0,0.8382,
sway,s=0.0_nfe32,0.0,0.8144,
sway,s=0.0_nfe32,11.11,0.8549,
sway,s=0.0_nfe32,0.0,0.8382,
sway,s=-0.4_nfe8,63.64,0.8065,
sway,s=-0.4_nfe8,100.0,0.7362,
sway,s=-0.4_nfe8,100.0,0.8023,
sway,s=-0.4_nfe16,0.0,0.8087,
sway,s=-0.4_nfe16,11.11,0.7892,
sway,s=-0.4_nfe16,12.5,0.8415,
sway,s=-0.4_nfe32,0.0,0.8072,
sway,s=-0.4_nfe32,11.11,0.7904,
sway,s=-0.4_nfe32,12.5,0.8432,
sway,s=-0.8_nfe8,45.45,0.8467,
sway,s=-0.8_nfe8,88.89,0.7812,
sway,s=-0.8_nfe8,37.5,0.8452,
sway,s=-0.8_nfe16,0.0,0.8044,
sway,s=-0.8_nfe16,11.11,0.7417,
sway,s=-0.8_nfe16,0.0,0.8,
sway,s=-0.8_nfe32,0.0,0.8047,
sway,s=-0.8_nfe32,0.0,0.7455,
sway,s=-0.8_nfe32,0.0,0.8031,
sway,s=-1.0_nfe8,27.27,0.8499,
sway,s=-1.0_nfe8,22.22,0.8017,
sway,s=-1.0_nfe8,12.5,0.8398,
sway,s=-1.0_nfe16,0.0,0.8106,
sway,s=-1.0_nfe16,11.11,0.835,
sway,s=-1.0_nfe16,0.0,0.7635,
sway,s=-1.0_nfe32,0.0,0.806,
sway,s=-1.0_nfe32,22.22,0.8328,
sway,s=-1.0_nfe32,0.0,0.7674,
cfg,cfg=1.0,18.18,0.8594,
cfg,cfg=1.0,33.33,0.8341,
cfg,cfg=1.0,0.0,0.8116,
cfg,cfg=1.5,0.0,0.8223,
cfg,cfg=1.5,33.33,0.8431,
cfg,cfg=1.5,0.0,0.7975,
cfg,cfg=2.0,0.0,0.806,
cfg,cfg=2.0,22.22,0.8328,
cfg,cfg=2.0,0.0,0.7674,
cfg,cfg=2.5,0.0,0.7703,
cfg,cfg=2.5,11.11,0.7305,
cfg,cfg=2.5,0.0,0.7659,
cfg,cfg=3.0,0.0,0.7758,
cfg,cfg=3.0,11.11,0.7921,
cfg,cfg=3.0,0.0,0.7546,
emotion,w=0.0,8.33,0.8122,619.3686
emotion,w=0.2,100.0,0.5269,793.9535
emotion,w=0.35,100.0,0.5269,793.9535
emotion,w=0.5,100.0,0.5269,793.9535
emotion,w=0.7,100.0,0.5269,793.9535
emotion,w=1.0,8.33,0.7551,764.3086
emotion,w=0.35,100.0,0.5133,733.0788
emotion,w=0.5,100.0,0.5133,733.0788
