sway_coef,nfe_steps,sentence_id,transcript,output_wav,wer,sim_o
0.4,8,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.4_nfe08.wav,63.64,0.7468
0.4,8,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.4_nfe08.wav,100.0,0.6844
0.4,8,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.4_nfe08.wav,100.0,0.6524
0.4,16,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.4_nfe16.wav,18.18,0.8477
0.4,16,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.4_nfe16.wav,100.0,0.786
0.4,16,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.4_nfe16.wav,50.0,0.8453
0.4,32,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.4_nfe32.wav,18.18,0.8449
0.4,32,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.4_nfe32.wav,100.0,0.7899
0.4,32,ab03,Flow matching with diffusion transformers achieves excellent results.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab03_s+0.4_nfe32.wav,37.5,0.8466
0.0,8,ab01,The cat sat on the mat and looked out the window.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab01_s+0.0_nfe08.wav,63.64,0.7788
0.0,8,ab02,Scientists have discovered a new species of deep-sea fish.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\sway_sampling\audio\ab02_s+0.0_nfe08.wav,100.0,0.7021
